FID;cod_aldeia;nome_aldeia;cod_ti;cod_municipio;data_cadastro;flag_ativo;nome_cr;the_geom;nommunic;nomuf;undadm_codigo;coord_lat;coord_long
aldeias_pontos.fid--75d69c06_184becf87ba_-498e;913;Katimani;50901;1400027;14/03/2017;A;COORDENACAO REGIONAL DE RORAIMA;POINT (-64.472733292 3.955866696);Amajari;Roraima;30202001955;39.558.667;-6.447.273.329
aldeias_pontos.fid--75d69c06_184becf87ba_-498d;4855;Katispero;8501;1300706;04/04/2022;A;COORDENACAO REGIONAL ALTO PURUS;POINT (-67.4075888889 -8.69894444444);Boca do Acre;Amazonas;30202001845;-869.894.444;-6.740.758.889
aldeias_pontos.fid--75d69c06_184becf87ba_-498c;4225;Kato;3002;1507300;16/07/2020;A;COORDENACAO REGIONAL CENTRO-LESTES DO PARÁ;POINT (-52.5757222222 -5.45477777778);São Félix do Xingu;Pará;30202001913;-545.477.778;-5.257.572.222
aldeias_pontos.fid--75d69c06_184becf87ba_-498b;3416;KATÕ;29801;1503754;10/10/2018;A;COORDENACAO REGIONAL DE TAPAJOS;POINT (-57.6285833333 -6.64519444444);Jacareacanga;Pará;30202001927;-664.519.444;-5.762.858.333
aldeias_pontos.fid--75d69c06_184becf87ba_-498a;919;Katonau;50901;1400027;14/03/2017;A;COORDENACAO REGIONAL DE RORAIMA;POINT (-64.50205 4.021983323);Amajari;Roraima;30202001955;402.198.332;-6.450.205
aldeias_pontos.fid--75d69c06_184becf87ba_-4989;1851;KATUAL;46401;1400233;15/05/2018;A;COORDENACAO REGIONAL DE MANAUS;POINT (-59.3543277778 0.498436111111);Caroebe;Roraima;30202001871;0.49843611;-5.935.432.778
aldeias_pontos.fid--75d69c06_184becf87ba_-4988;1421;KATYOLA-WINÃ;33401;5107958;12/04/2018;A;COORDENACAO REGIONAL DE CUIABA;POINT (-58.0883361111 -14.00115);Tangará da Serra;Mato Grosso;30202002025;-1.400.115;-5.808.833.611
aldeias_pontos.fid--75d69c06_184becf87ba_-4987;2050;KAUWÊ;37901;1400456;30/05/2018;A;COORDENACAO REGIONAL DE RORAIMA;POINT (-61.1099722222 4.50944444444);Pacaraima;Roraima;30202001955;450.944.444;-6.110.997.222
aldeias_pontos.fid--75d69c06_184becf87ba_-4986;2521;KAWA;43101;1300805;24/07/2018;A;COORDENACAO REGIONAL DE MANAUS;POINT (-59.9069166667 -4.86443888889);Borba;Amazonas;30202001871;-486.443.889;-5.990.691.667
aldeias_pontos.fid--75d69c06_184becf87ba_-4985;54;Kawaipe;2301;5105101;;A;COORDENACAO REGIONAL NOROESTE DO MATO GROSSO;POINT (-57.266666666667 -11.083333333333);Juara;Mato Grosso;30202002032;-1.108.333.333;-5.726.666.667
aldeias_pontos.fid--75d69c06_184becf87ba_-4984;4136;Kawairup;33801;5103700;10/06/2020;A;COORDENACAO REGIONAL DO XINGU;POINT (-53.27125 -11.226044444444);Feliz Natal;Mato Grosso;30202002060;-1.122.604.444;-5.327.125
